0,3
1,3
2,3
2,3.45
3,3.45
4,3.45
5,3.45
6,3.45
7,3.45
8,3.45
9,3.45
10,3.45
11,3.45
12,3.45
13,3.45
14,3.45
15,3.45
16,3.45
17,3.45
18,3.45
19,3.45
20,3.45
20,3.75
21,3.75
22,3.75
23,3.75
24,3.75
25,3.75
26,3.75
27,3.75
28,3.75
29,3.75
30,3.75
31,3.75
32,3.75
33,3.75
34,3.75
35,3.75
35,4.5
40,4.5
45,4.5
50,4.5
60,4.5
70,4.5
80,4.5
90,4.5
100,4.5
110,4.5
120,4.5
130,4.5
140,4.5
150,4.5
160,4.5
170,4.5
180,4.5
190,4.5
200,4.5
210,4.5
220,4.5231
230,4.53773
240,4.55236
250,4.56699
260,4.58162
270,4.59625
280,4.61088
290,4.62551
300,4.64014
310,4.65477
320,4.6694
330,4.68404
340,4.69867
350,4.7133
360,4.72793
370,4.74256
380,4.75719
390,4.77182
400,4.78645
410,4.80108
420,4.81571
420,5.05165
430,5.06844
440,5.08523
450,5.10202
460,5.11882
470,5.13561
480,5.1524
490,5.16919
500,5.18598
510,5.20277
520,5.21956
530,5.23635
540,5.25314
550,5.26993
560,5.28672
570,5.30351
580,5.3203
590,5.33709
600,5.35388
610,5.37067
620,5.38746
630,5.40425
640,5.42105
650,5.43784
660,5.45463
670,5.47142
670,6.11442
685.3,6.12654
735.3,6.16553
785.3,6.20364
835.3,6.24088
885.3,6.27727
935.3,6.31283
985.3,6.34757
1035.3,6.38152
1085.3,6.41468
1135.3,6.44709
1185.3,6.47875
1235.3,6.5097
1285.3,6.53993
1335.3,6.56948
1385.3,6.59836
1435.3,6.62658
1485.3,6.65418
1535.3,6.68116
1585.3,6.70754
1635.3,6.73334
1685.3,6.75858
1735.3,6.78328
1785.3,6.80746
1835.3,6.83113
1885.3,6.85431
1935.3,6.87702
1985.3,6.89928
2035.3,6.9211
2085.3,6.94251
2135.3,6.96353
2185.3,6.98416
2235.3,7.00443
2285.3,7.02436
2335.3,7.04397
2385.3,7.06327
2435.3,7.08228
2485.3,7.10102
2535.3,7.1195
2585.3,7.13776
2635.3,7.15579
2685.3,7.17363
2735.3,7.19129
2785.3,7.20879
2835.3,7.22615
2885.3,7.24338
